,Avaliações
635,"As visitas ainda são de entrada grátis! Para visitar será melhor deixar o carro num estacionamento e visitar a pé a parte histórica da cidade.
"
636,"Simples porém charmoso
"
637,"Poderia ser melhor aproveitado. Não é explorado e não há muitas explicações sobre o local, porém vale uma visita
"
638,"Um monumento a visitar
"
639,"Visitámos Beja em Maio e estava muito calor (tipicamente alentejano).
"
640,"Como estava perto do almoço, fomos ao posto de turismo, que se localiza dentro das muralhas do castelo para saber onde melhor se comia e o que poderíamos visitar durante a tarde. 
"
641,"Fomos muito bem recebidos e deram-nos todas as informações de que necessitávamos.
"
642,"Depois do almoço visitámos o castelo e a sua enorme torre, onde fazia muito fresquinho (parecia que tinha o ar condicionado ligado, mas eram apenas as suas espessas paredes de pedras). Dos pisos superiores pode-se ver Beja e tudo que a rodeia, que é muito bonito.
"
643,"Tem casas de banho limpas e é totalmente gratuito.
"
644,"monumento bem organizado
"
645,"tudo muito limpo e preparados para os visitantes
"
646,"com estacionamento publico mesmo ao lado
"
647,"Encantador e muito bem conservado
"
648,"Muito bem conservado, e facilmente acessível... vale a pena percorrer todas as muralhas e subir a torre de menagem, gótica, lindíssima, a maior torre de menagem de Portugal.... 
"
649,"Interessante, mas sub-aproveitado
"
650,"Como muitos monumentos em Portugal, este é muito giro, mas não conseguimos saber nada sobre o mesmo durante a visita. Falta indicações, Marketing, uma esplanada, etc ... Visita ao gosto do próprio. Pelo menos é grátis.
"
651,"Vale pela vista
"
652,"O castelo é simples e pequeno, sem nada de especial dentro das muralhas, mas vale bem a pena chegar ao cimo da torre de menagem e contemplar a vista....fui em pelno verão e os campos pareciam ouro...adorei!!!
"
653,"Fiquei surpreendida pela positiva. Vale a pena visitar. Dá para dar a volta pelas muralhas e apreciar a bela vista da planicie alentejana e ainda visitar uma das torres do castelo.
"
654,"Calstle velha Nice
"
655,"Este é um castelo antigo, bom, definitivamente vale a pena visitar se você acabar de Beja. As paredes tem bela vista do bairro.
"
656,"Torre está aberta apenas durante o horário de funcionamento - estávamos no lugar apenas quando foi fechado - por isso não subir, mas as paredes eram acessíveis e a vista era bom de paredes também.
"
657,"Histórico ground
"
658,"Gostei da vista. O café-bar no interior foi abandonado na hora do almoço e parecia na necessidade de maior animação. Há uma pequena área de exposições no interior também, mas foi fecha para almoço.
"
659,"Apenas um grande espaço aberto
"
660,"Um pequeno castelo que nada tem a ver outras de suas paredes. O gabinete de informação não tem alguém que fala inglês e as escadas estão fechadas. Não vale a pena uma visita.
"
661,"Vistas Magníficas
"
662,"Castelo de Beja vale uma visita para seu bem área de preservação, a paisagem e história envolvente.
"
663,"No interior, há um Escritório oficial de Turismo, bem como um café / restaurante.
"
664,"Subir a escada em espiral de a manter e mime-se na paisagem rural circundante.
"
665,"Vale o esforço de cada passo que subir ... e eles são muitos.
"
666,"Bom lugar para visitar
"
667,"Foi uma área agradável, nós subimos até ao redor do castelo,gostei muito do cenário e as crianças teve uma explosão explorar o lugar (que fez os adultos).
"
668,"Símbolo da cidade
"
669,"Construído no C13 por Dom Dinis sobre romana e árabe continua. A manter é o mais alto em Portugal (e no momento da construção foi o mais alto na Península Ibérica).  As excelentes vistas do manter ao longo das planícies do Alentejo. As Ruínas das muralhas do castelo pode ser visto em diversos pontos da cidade velha.
"
670,"Castelo Excelente, mas a torre foi fechado
"
671,"O Castelo de Beja é um excelente exemplo de/moura romano de design e um excelente lugar para visitar. Você não pode perder, é visível de praticamente qualquer parte da cidade. Se em Beja você deve visitar. Vale a pena a caminhada até a colina.
"
672,"Excelente guia
"
673,"Visitei, com um grupo de amigos e guia foi divertido e informativo em inglês. É uma subida íngreme, vistas magníficas, melhor coisa em Beja
"
674,"Pedreiros fizeram sua marca
"
675,"Eu sou um fã de castelo, então eu ter classificado esta 3 * não deixa levar. Os pedreiros que construiu o castelo fizeram as suas marcas nas paredes ao lado da porta da torre. Você pode ver a partir do topo da torre onde a cidade velha foi cercada por um muro. As vistas são v boa. Vale a pena visitar se estiver na cidade.
"
676,"Um pequeno castelo muito fotogénico
"
677,"O castelo é muito pequena, mas quando você está na cidade, definitivamente vale a pena uma visita. Você está livre para passear em volta das paredes onde você têm vista panorâmica para o resto da cidade.
"
678,"Valeu a pena visitar
"
679,"Um castelo do século 14th, imperdível. Melhor para trazer um pouco de comida no seu próprio, então você pode ter um piquenique.
"
680,"Há muito tempo não havia um castelo ...
"
681,"Não há muito a ver guardar a vista do tower ou a pé na parte superior dos paredões. Na quadra, não houve é um ponto turístico e informações sobre um bar.
"
682,"Beja
"
683,"Passamos o dia em Beja em 9 de Junho de 2012. Muito caloroso e muito agradável. A Universidade local foi tendo sua Graduação e o evento adicionado cor para uma cidade já muito pitoresca
"
684,"Elevando-se
"
685,"soberbas vistas sobre a área circundante. Bem mantido. Local do escritório de informações turísticas. São fáceis de alcançar a pé de praticamente qualquer onde na cidade. Fechado às segundas-feiras
"
686,"Definitivamente um se você na região
"
687,"O castelo maio ser principalmente Vazio, mas pitoresca e uma torre que você pode escalar. Há também um número de quartos e janelas para guardar. ADMISSÃO taxas, e o local turismo está dentro paredes. Muito impressionado com o público banheiro instalações em comparação com aqui no Canadá.
"
